municipi,municipi_codi,vots_erc,vots_psc,vots_jxcat,vots_ecp,vots_pp,vots_cup,vots_vox,vots_cs,vots_mp,vots_pacma,vots_valids,ptg_erc,ptg_psc,ptg_jxcat,ptg_ecp,ptg_pp,ptg_cup,ptg_vox,ptg_cs,ptg_mp,ptg_pacma,particip
La Riera de Gaià,43126,277,128,176,115,47,84,63,28,0,11,933,29.69,13.72,18.86,12.33,5.04,9,6.75,3,0,1.18,76.18
Caldes d'Estrac,8032,434,214,257,198,80,109,57,66,17,19,1465,29.62,14.61,17.54,13.52,5.46,7.44,3.89,4.51,1.16,1.3,70.1
Granollers,8096,6990,7310,4320,4229,2223,1834,1888,1998,421,379,31964,21.87,22.87,13.52,13.23,6.95,5.74,5.91,6.25,1.32,1.19,73.13
Aspa,25036,34,26,23,6,13,13,5,3,0,0,124,27.42,20.97,18.55,4.84,10.48,10.48,4.03,2.42,0,0,68.89
Calaf,8031,535,259,419,166,81,145,71,36,12,9,1750,30.57,14.8,23.94,9.49,4.63,8.29,4.06,2.06,0.69,0.51,75.25
Vilassar de Mar,8219,3478,1659,2278,1532,757,1050,531,543,144,115,12206,28.49,13.59,18.66,12.55,6.2,8.6,4.35,4.45,1.18,0.94,77.66
Sant Martí Sesgueioles,8228,95,21,56,13,7,22,6,9,1,3,233,40.77,9.01,24.03,5.58,3,9.44,2.58,3.86,0.43,1.29,80.14
Tortellà,17200,157,39,123,38,8,79,2,4,0,9,467,33.62,8.35,26.34,8.14,1.71,16.92,0.43,0.86,0,1.93,75.16
Bellcaire d'Urgell,25047,333,64,193,24,36,43,16,4,0,4,736,45.24,8.7,26.22,3.26,4.89,5.84,2.17,0.54,0,0.54,77.93
Argentona,8009,1870,947,1292,839,493,709,432,381,58,74,7171,26.08,13.21,18.02,11.7,6.87,9.89,6.02,5.31,0.81,1.03,75.54
Bonastre,43030,112,54,69,39,15,17,26,12,0,4,351,31.91,15.38,19.66,11.11,4.27,4.84,7.41,3.42,0,1.14,73.71
Begues,8020,1080,581,692,629,207,337,224,207,53,43,4100,26.34,14.17,16.88,15.34,5.05,8.22,5.46,5.05,1.29,1.05,78.52
Calafell,43037,2426,2690,1087,1842,1025,395,1126,787,0,162,11672,20.78,23.05,9.31,15.78,8.78,3.38,9.65,6.74,0,1.39,64.5
Bràfim,43034,143,58,80,14,15,17,21,11,0,1,365,39.18,15.89,21.92,3.84,4.11,4.66,5.75,3.01,0,0.27,78.49
L'Estany,8079,113,20,72,9,3,25,4,5,4,1,258,43.8,7.75,27.91,3.49,1.16,9.69,1.55,1.94,1.55,0.39,78.08
Canovelles,8041,949,2277,464,1151,590,186,826,536,95,88,7258,13.08,31.37,6.39,15.86,8.13,2.56,11.38,7.38,1.31,1.21,68.46
Capafonts,43039,29,5,18,2,1,20,0,2,0,0,77,37.66,6.49,23.38,2.6,1.3,25.97,0,2.6,0,0,76.24
Cardedeu,8046,2856,1582,1757,1414,527,1108,410,486,109,95,10456,27.31,15.13,16.8,13.52,5.04,10.6,3.92,4.65,1.04,0.91,77.62
Castellbisbal,8054,1550,1372,627,1190,425,450,596,466,102,98,6943,22.32,19.76,9.03,17.14,6.12,6.48,8.58,6.71,1.47,1.41,75.9
Collsuspina,8070,73,12,65,16,3,35,5,1,0,0,211,34.6,5.69,30.81,7.58,1.42,16.59,2.37,0.47,0,0,79.93
Cubelles,8074,1574,1727,570,1282,591,341,686,567,127,99,7651,20.57,22.57,7.45,16.76,7.72,4.46,8.97,7.41,1.66,1.29,68.79
El Milà,43083,21,8,28,6,20,6,12,6,0,2,109,19.27,7.34,25.69,5.5,18.35,5.5,11.01,5.5,0,1.83,75.34
Gualba,8097,261,84,203,94,13,100,35,31,2,11,840,31.07,10,24.17,11.19,1.55,11.9,4.17,3.69,0.24,1.31,76.61
Hostalric,17083,558,374,415,346,88,169,95,79,0,16,2154,25.91,17.36,19.27,16.06,4.09,7.85,4.41,3.67,0,0.74,72.84
Les Cabanyes,8027,150,73,140,54,19,60,35,29,7,7,582,25.77,12.54,24.05,9.28,3.26,10.31,6.01,4.98,1.2,1.2,80.66
L'Ametlla del Vallès,8005,1425,481,1105,525,319,346,259,211,40,62,4815,29.6,9.99,22.95,10.9,6.63,7.19,5.38,4.38,0.83,1.29,75.16
L'Arboç,43016,459,708,280,397,132,154,159,164,0,34,2508,18.3,28.23,11.16,15.83,5.26,6.14,6.34,6.54,0,1.36,73.4
La Seu d'Urgell,25203,1739,1063,1003,507,420,432,268,238,0,48,5770,30.14,18.42,17.38,8.79,7.28,7.49,4.64,4.12,0,0.83,65.99
Malla,8111,46,7,92,8,7,25,4,2,1,0,194,23.71,3.61,47.42,4.12,3.61,12.89,2.06,1.03,0.52,0,90.28
Molins de Rei,8123,4145,3077,1930,2257,752,1272,672,722,171,151,15325,27.05,20.08,12.59,14.73,4.91,8.3,4.38,4.71,1.12,0.99,78.63
Mont-ras,17110,223,189,236,98,67,47,74,40,0,3,981,22.73,19.27,24.06,9.99,6.83,4.79,7.54,4.08,0,0.31,74.32
Perafort,43103,184,117,73,94,49,26,69,57,0,21,701,26.25,16.69,10.41,13.41,6.99,3.71,9.84,8.13,0,3,77.64
Vilada,8299,109,24,80,15,4,52,6,1,2,2,300,36.33,8,26.67,5,1.33,17.33,2,0.33,0.67,0.67,79.21
Passanant i Belltall,43101,27,7,44,5,3,20,2,2,0,0,112,24.11,6.25,39.29,4.46,2.68,17.86,1.79,1.79,0,0,76.71
Poboleda,43112,70,15,40,8,3,39,0,1,0,0,179,39.11,8.38,22.35,4.47,1.68,21.79,0,0.56,0,0,73.06
Preixana,25176,70,5,87,14,18,23,11,6,0,1,238,29.41,2.1,36.55,5.88,7.56,9.66,4.62,2.52,0,0.42,78.5
Puigverd d'Agramunt,25181,35,11,44,7,11,22,2,3,0,1,137,25.55,8.03,32.12,5.11,8.03,16.06,1.46,2.19,0,0.73,79.65
Roda de Ter,8183,1067,350,983,272,77,397,103,82,18,29,3398,31.4,10.3,28.93,8,2.27,11.68,3.03,2.41,0.53,0.85,74.48
Sidamon,25205,130,46,110,36,26,24,14,14,0,3,407,31.94,11.3,27.03,8.85,6.39,5.9,3.44,3.44,0,0.74,73.18
Rosselló,25189,474,192,338,146,76,87,55,57,0,14,1461,32.44,13.14,23.13,9.99,5.2,5.95,3.76,3.9,0,0.96,67.31
Sant Pol de Mar,8235,991,240,810,282,101,348,73,83,25,19,2996,33.08,8.01,27.04,9.41,3.37,11.62,2.44,2.77,0.83,0.63,77.5
Sant Adrià de Besòs,8194,2441,4605,666,2927,1436,471,1745,1306,279,275,16386,14.9,28.1,4.06,17.86,8.76,2.87,10.65,7.97,1.7,1.68,64.15
Santa Eulàlia de Ronçana,8248,1175,592,658,614,197,352,217,236,35,51,4165,28.21,14.21,15.8,14.74,4.73,8.45,5.21,5.67,0.84,1.22,73.62
Sant Antoni de Vilamajor,8198,1083,372,656,402,185,377,157,144,36,35,3469,31.22,10.72,18.91,11.59,5.33,10.87,4.53,4.15,1.04,1.01,74.61
Sant Pere de Riudebitlles,8232,466,175,302,150,44,142,32,24,5,9,1362,34.21,12.85,22.17,11.01,3.23,10.43,2.35,1.76,0.37,0.66,77.16
Sudanell,25211,220,46,96,21,25,44,5,8,0,1,470,46.81,9.79,20.43,4.47,5.32,9.36,1.06,1.7,0,0.21,69.12
Tavèrnoles,8275,66,7,87,7,3,42,2,1,0,0,218,30.28,3.21,39.91,3.21,1.38,19.27,0.92,0.46,0,0,88.26
Tarrés,25218,33,3,24,3,1,8,1,0,0,0,75,44,4,32,4,1.33,10.67,1.33,0,0,0,86.36
Tarroja de Segarra,25219,38,1,25,10,7,20,5,4,0,0,111,34.23,0.9,22.52,9.01,6.31,18.02,4.5,3.6,0,0,76.03
Torelló,8285,2061,981,2132,613,217,980,234,216,39,48,7599,27.12,12.91,28.06,8.07,2.86,12.9,3.08,2.84,0.51,0.63,73.73
Vallbona d'Anoia,8292,205,138,128,63,34,125,33,25,11,21,790,25.95,17.47,16.2,7.97,4.3,15.82,4.18,3.16,1.39,2.66,74.12
Torrelles de Foix,8288,285,240,146,133,58,63,66,60,8,22,1096,26,21.9,13.32,12.14,5.29,5.75,6.02,5.47,0.73,2.01,65.04
Tossa de Mar,17202,697,476,555,264,160,161,96,134,0,36,2615,26.65,18.2,21.22,10.1,6.12,6.16,3.67,5.12,0,1.38,68.4
