municipi,municipi_codi,vots_erc,vots_psc,vots_jxcat,vots_ecp,vots_cs,vots_pp,vots_fr,vots_vox,vots_pacma,vots_valids,ptg_erc,ptg_psc,ptg_jxcat,ptg_ecp,ptg_cs,ptg_pp,ptg_fr,ptg_vox,ptg_pacma,particip
Maials,25133,214,52,175,24,29,14,10,3,3,527,40.61,9.87,33.21,4.55,5.5,2.66,1.9,0.57,0.57,76.97
Maspujols,43081,209,67,110,62,21,7,16,22,10,531,39.36,12.62,20.72,11.68,3.95,1.32,3.01,4.14,1.88,84.04
Granollers,8096,8011,8756,4089,4694,4070,1490,758,1121,537,33871,23.65,25.85,12.07,13.86,12.02,4.4,2.24,3.31,1.59,78.22
La Riba,43124,145,60,85,26,25,13,5,6,3,373,38.87,16.09,22.79,6.97,6.7,3.49,1.34,1.61,0.8,80.3
Torrebesses,25226,94,22,35,7,10,1,7,1,1,183,51.37,12.02,19.13,3.83,5.46,0.55,3.83,0.55,0.55,76.03
Fondarella,25093,174,59,146,30,34,16,7,12,3,487,35.73,12.11,29.98,6.16,6.98,3.29,1.44,2.46,0.62,77.74
La Llagosta,8105,838,2883,188,1433,1150,414,39,307,175,7505,11.17,38.41,2.5,19.09,15.32,5.52,0.52,4.09,2.33,77.71
La Nou de Gaià,43097,121,62,79,32,11,10,17,5,2,341,35.48,18.18,23.17,9.38,3.23,2.93,4.99,1.47,0.59,85.46
Sant Mori,17176,39,21,17,9,14,2,2,2,2,110,35.45,19.09,15.45,8.18,12.73,1.82,1.82,1.82,1.82,89.43
Siurana,17052,44,5,30,9,4,3,4,1,3,104,42.31,4.81,28.85,8.65,3.85,2.88,3.85,0.96,2.88,77.61
Bordils,17025,337,95,305,66,42,23,71,12,5,967,34.85,9.82,31.54,6.83,4.34,2.38,7.34,1.24,0.52,83.08
Alòs de Balaguer,25022,44,3,30,4,3,2,1,0,1,88,50,3.41,34.09,4.55,3.41,2.27,1.14,0,1.14,82.24
Badalona,8015,20654,33881,6576,21971,15578,7586,2222,4839,2424,117237,17.62,28.9,5.61,18.74,13.29,6.47,1.9,4.13,2.07,75.51
Badia del Vallès,8904,616,2907,85,1772,1146,376,66,456,196,7697,8,37.77,1.1,23.02,14.89,4.89,0.86,5.92,2.55,73.55
Balaguer,25040,2613,1521,1422,623,646,394,207,163,70,7734,33.79,19.67,18.39,8.06,8.35,5.09,2.68,2.11,0.91,73.4
Bell-lloc d'Urgell,25048,475,196,309,85,81,40,35,22,11,1264,37.58,15.51,24.45,6.72,6.41,3.16,2.77,1.74,0.87,78.06
Blancafort,43029,134,21,50,27,7,2,8,0,3,252,53.17,8.33,19.84,10.71,2.78,0.79,3.17,0,1.19,80.57
Calella,8035,2798,1792,1564,1129,931,437,359,288,175,9538,29.34,18.79,16.4,11.84,9.76,4.58,3.76,3.02,1.83,74.38
Bossòst,25059,67,201,43,64,102,67,1,56,7,612,10.95,32.84,7.03,10.46,16.67,10.95,0.16,9.15,1.14,76.38
Cabanelles,17031,55,7,32,7,7,5,12,2,2,129,42.64,5.43,24.81,5.43,5.43,3.88,9.3,1.55,1.55,71.43
L'Estany,8079,130,30,72,15,9,1,23,2,0,282,46.1,10.64,25.53,5.32,3.19,0.35,8.16,0.71,0,85.03
Vilablareix,17215,777,287,388,147,144,42,61,38,26,1925,40.36,14.91,20.16,7.64,7.48,2.18,3.17,1.97,1.35,86.93
Canyelles,8043,537,617,238,474,352,113,47,127,34,2569,20.9,24.02,9.26,18.45,13.7,4.4,1.83,4.94,1.32,76.35
Cava,25071,19,0,9,1,0,1,1,0,0,31,61.29,0,29.03,3.23,0,3.23,3.23,0,0,76.19
Castelldans,25067,174,69,132,33,45,35,19,16,4,532,32.71,12.97,24.81,6.2,8.46,6.58,3.57,3.01,0.75,76.06
El Palau d'Anglesola,25158,510,139,367,78,69,30,43,23,11,1277,39.94,10.88,28.74,6.11,5.4,2.35,3.37,1.8,0.86,80.39
Ciutadilla,25074,67,19,33,8,9,6,8,2,0,155,43.23,12.26,21.29,5.16,5.81,3.87,5.16,1.29,0,87.22
Corbera de Llobregat,8072,2581,1507,789,1281,987,330,188,310,154,8193,31.5,18.39,9.63,15.64,12.05,4.03,2.29,3.78,1.88,76.89
Cubelles,8074,1738,2080,530,1494,1239,406,138,382,167,8235,21.11,25.26,6.44,18.14,15.05,4.93,1.68,4.64,2.03,74.84
Duesaigües,43053,58,24,32,14,3,5,7,5,0,149,38.93,16.11,21.48,9.4,2.01,3.36,4.7,3.36,0,81.38
El Milà,43083,36,10,29,7,11,12,1,4,1,113,31.86,8.85,25.66,6.19,9.73,10.62,0.88,3.54,0.88,80.56
Fortià,17074,166,57,71,36,43,19,16,11,5,426,38.97,13.38,16.67,8.45,10.09,4.46,3.76,2.58,1.17,81.95
Girona,17079,13274,8742,12097,4965,4712,1863,2478,1459,654,50629,26.22,17.27,23.89,9.81,9.31,3.68,4.89,2.88,1.29,77.8
Hostalric,17083,687,466,418,351,172,61,52,46,28,2300,29.87,20.26,18.17,15.26,7.48,2.65,2.26,2,1.22,78.39
Les Cabanyes,8027,189,100,123,57,31,25,30,24,2,588,32.14,17.01,20.92,9.69,5.27,4.25,5.1,4.08,0.34,82.22
L'Ametlla del Vallès,8005,1687,682,1036,574,501,187,187,166,89,5137,32.84,13.28,20.17,11.17,9.75,3.64,3.64,3.23,1.73,80.77
La Masó,43080,65,19,60,13,20,6,7,3,1,195,33.33,9.74,30.77,6.67,10.26,3.08,3.59,1.54,0.51,85.9
L'Arboç,43016,526,758,298,428,327,88,45,76,44,2608,20.17,29.06,11.43,16.41,12.54,3.37,1.73,2.91,1.69,76.28
